symbol,interval,datetime,open,high,low,close,volume
BTCUSDT,1m,2025-06-06 21:28:00,104308.37,104308.38,104308.37,104308.37,1.74681
BTCUSDT,1m,2025-06-06 21:29:00,104308.37,104308.38,104308.37,104308.37,5.86714
BTCUSDT,1m,2025-06-06 21:30:00,104308.38,104320.04,104308.37,104320.03,6.45911
BTCUSDT,1m,2025-06-06 21:31:00,104320.03,104338.55,104320.03,104338.55,6.0855
BTCUSDT,1m,2025-06-06 21:32:00,104338.55,104426.05,104338.54,104426.04,3.32564
BTCUSDT,1m,2025-06-06 21:33:00,104426.05,104426.05,104419.71,104419.71,1.68929
BTCUSDT,1m,2025-06-06 21:34:00,104419.72,104419.72,104408.99,104409.0,3.34164
BTCUSDT,1m,2025-06-06 21:35:00,104409.0,104409.0,104408.99,104409.0,0.82947
BTCUSDT,1m,2025-06-06 21:36:00,104409.0,104409.0,104382.9,104382.9,1.5065
BTCUSDT,1m,2025-06-06 21:37:00,104382.91,104382.91,104380.98,104380.98,1.2323
BTCUSDT,1m,2025-06-06 21:38:00,104380.98,104380.99,104380.98,104380.99,1.01591
BTCUSDT,1m,2025-06-06 21:39:00,104380.99,104471.99,104380.98,104471.98,10.97347
BTCUSDT,1m,2025-06-06 21:40:00,104471.99,104471.99,104423.85,104423.85,6.69625
BTCUSDT,1m,2025-06-06 21:41:00,104423.85,104440.0,104387.6,104416.33,7.76377
BTCUSDT,1m,2025-06-06 21:42:00,104416.33,104416.34,104416.33,104416.34,1.48404
BTCUSDT,1m,2025-06-06 21:43:00,104416.33,104469.53,104416.33,104469.53,6.43523
BTCUSDT,1m,2025-06-06 21:44:00,104469.53,104469.53,104469.52,104469.53,0.80744
BTCUSDT,1m,2025-06-06 21:45:00,104469.52,104483.5,104469.52,104483.5,6.39972
